[-0.07468101  0.11890162],[-0.14770442  0.0178423 ],[1.7572321 1.6552789]
[-0.07465731  0.11020546],[-0.14731964  0.00974473],[1.7570573 1.6429033]
[-0.07465731  0.10067053],[-0.14731964  0.00384798],[1.7570573 1.6359895]
[-0.07465731  0.09431414],[-0.14731964 -0.01037928],[1.7570573 1.6357374]
[-0.07468101  0.09206085],[-0.14770442 -0.02755452],[1.7572321 1.6248909]
[-0.07465731  0.08646654],[-0.14731964 -0.03457219],[1.7570573 1.6013914]
[-0.07468101  0.07149889],[-0.14770442 -0.02392313],[1.7572321 1.5391964]
[-0.07468101  0.05229785  0.59709     0.35218635],[-0.14770442 -0.00383106 -0.23112774  0.18805584],[1.7572321 1.5401988 1.1875843 1.2705828]
[-0.07465731  0.3516687 ],[-0.14731964  0.18984525],[1.7570573 1.2790784]
[-0.07468101  0.03832372],[-0.14770442 -0.00306642],[1.7572321 1.6600552]
[-0.07468101  0.0551289 ],[-0.14770442 -0.04001538],[1.7572321 1.5985327]
[-0.07468101  0.05040086  0.35056642],[-0.14770442 -0.0339192   0.18527892],[1.7572321 1.5556471 1.2669773]
[-0.07468101  0.04095124  0.3483785 ],[-0.14770442 -0.02242309  0.18557185],[1.7572321 1.5650527 1.2672981]
[-0.07468101  0.03319022  0.33868614],[-0.14770442 -0.02813325  0.17971753],[1.7572321 1.568076  1.248546 ]
[-0.07468565  0.01856157  0.3214345 ],[-0.14733456 -0.06328092  0.17100464],[1.7573282 1.551949  1.2607502]
[-0.07466793 -0.00395732  0.3115881 ],[-0.1465811  -0.06644048  0.1700292 ],[1.7572639 1.5630195 1.3097677]
[-0.07497931 -0.02609601  0.3019591 ],[-0.14795558 -0.04268992  0.16979568],[1.7646354 1.6115882 1.3289312]
[-0.07468101 -0.03974713],[-0.14770442 -0.0323594 ],[1.7572321 1.6803684]
[-0.07465731 -0.02467825],[-0.14731964 -0.06217691],[1.7570573 1.7960635]
